participant_number,version,fun_studying_languages,boring_spanish_class,interesting_spanish_cultures,interesting_studying_languages,difficult_classroom_learning,valuable,no_accent,important_spanish,beautiful,codeswitch_rude,smarter_two_languages,started_younger,like_becoming_bilingual,admire_multilinguals,like_langauges,interest_languages,like_spanish,like_hearing_spanish,communicating_spanish_speakers,excited_spanish_class,outside_engagement,spanish_favorite_class,worldview,acceptable_monolingualism,learn_not_abroad,multilingualism_asset,schools_teach,connect_with_people,future_career,effort,can_become_bilingual,family_languages,family_languages,english_first_language,eng_first_language_and_other,eng_not_first_language,age,gender,years_studying_spanish,current_class,university,other_language_study,other_languages
73,1,3,4,5,4,3,5,4,5,5,4,4,5,5,5,5,4,5,5,3,3,4,3,1,3,1,1,1,1,1,1,1,1,NA,1.5,SP,,24,1,2,3,NIU,1,GR
74,1,3,4,5,4,4,5,4,4,4,5,4,3,5,4,4,4,5,4,4,3,2,3,1,4,1,1,3,1,2,1,1,1,SP,1.5,"SP, HB",,19,1,3,3,UW,1,HB
75,1,2,4,5,4,4,5,4,5,5,5,5,5,5,4,5,5,5,5,5,2,5,2,1,4,3,1,1,1,1,1,1,1,SP,1.5,SP,,21,1,5,3,NIU,2,
76,1,3,4,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,4,5,4,2,4,1,2,1,1,1,1,1,1,1,1,CH,2.0,,CH,22,2,1,3,UW,1,EN
77,1,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,3,1,1,1,1,1,1,1,1,EN,2.0,,RU,26,1,0,3,UW,1,"EN, GR, CH, FR, LT, TK"
78,1,3,2,2,3,3,5,4,2,2,4,3,3,3,1,2,3,2,4,1,3,3,3,3,3,3,3,3,3,3,3,3,2,,1.0,,,22,2,3,3,NIU,1,ASL
79,1,2,3,2,3,2,4,5,2,3,5,4,4,4,4,3,3,3,2,2,2,2,2,1,3,1,3,1,1,1,3,1,2,,1.0,,,22,1,1,3,NIU,1,ASL
80,1,5,4,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,3,2,1,1,1,1,1,1,1,2,,1.0,,,21,1,1,3,UW,1,CH
81,1,3,5,4,3,1,4,4,3,4,5,5,5,3,5,3,4,4,2,2,4,2,4,1,3,1,1,1,1,1,1,4,2,,1.0,,,23,2,3,3,NIU,2,
82,1,2,4,3,2,2,3,4,3,3,5,4,2,2,3,3,3,2,2,1,2,4,4,3,3,3,1,2,2,1,3,3,2,,1.0,,,23,2,3,3,NIU,2,
83,1,4,5,4,5,4,5,3,2,4,3,5,5,5,5,4,4,4,4,3,3,4,3,1,2,4,1,2,1,1,1,3,2,,1.0,,,21,1,4,3,NIU,2,
84,1,2,1,3,4,3,4,5,5,5,5,3,5,5,5,4,4,4,5,5,2,3,3,3,2,3,1,3,1,1,1,1,2,,1.0,,,21,1,5,3,NIU,2,
85,1,2,3,3,2,3,5,5,5,3,5,4,4,3,3,4,3,4,4,4,3,4,3,3,2,1,1,3,1,1,1,3,2,,1.0,,,23,2,2,3,NIU,2,
86,1,1,3,3,2,4,5,5,4,4,5,4,4,4,5,1,3,3,3,1,1,1,1,1,2,3,1,1,1,1,3,2,2,,1.0,,,19,1,3,3,NIU,2,
87,1,3,4,5,3,3,5,4,5,5,5,4,5,5,5,3,5,4,4,4,3,4,3,1,4,1,1,1,1,1,1,1,2,,1.0,,,22,1,4,3,NIU,2,
88,1,5,4,5,5,3,5,4,4,5,5,5,5,5,5,5,5,5,5,4,3,4,3,3,2,1,1,1,1,1,1,1,2,,1.0,,,18,1,5,3,UW,2,
89,1,2,4,4,3,3,5,5,5,4,5,5,5,4,5,4,4,4,4,2,3,2,4,1,3,1,1,3,1,1,1,3,2,,1.0,,,18,1,5,3,UW,2,
90,1,2,4,4,4,4,5,5,5,4,5,5,5,5,5,4,5,4,4,4,3,3,3,3,3,1,1,1,1,1,1,1,2,,1.0,,,18,1,5,3,UW,2,
91,1,2,5,3,2,3,4,5,4,4,5,2,5,5,4,3,4,4,4,4,3,3,3,3,2,1,3,1,1,1,1,3,2,,1.0,,,19,1,1,3,UW,2,
92,1,3,4,5,3,2,5,5,5,5,5,4,5,5,5,4,5,4,5,4,3,2,2,1,3,1,1,1,1,1,1,1,2,,1.0,,,18,1,4,3,UW,2,
93,1,4,5,4,4,4,5,5,4,3,5,4,5,5,4,4,5,4,4,4,3,3,4,1,2,1,1,1,1,1,1,1,2,,1.0,,,18,1,5,3,UW,2,
94,1,4,5,4,4,3,5,5,5,5,5,1,5,5,5,4,5,4,3,3,4,3,3,3,2,3,1,1,1,1,1,1,2,,1.0,,,22,1,3,3,UW,2,
95,1,5,3,3,5,2,4,3,4,4,5,2,5,5,5,4,4,4,4,4,2,4,3,1,2,3,1,1,1,2,1,1,2,,1.0,,,18,2,4,3,UW,2,
96,1,4,5,3,4,5,5,4,5,5,5,5,3,4,5,5,5,5,5,4,5,4,5,1,2,1,1,1,1,1,1,1,2,,1.0,,,21,1,5,3,UW,2,
97,1,4,4,5,5,3,5,3,5,5,5,5,4,5,5,4,5,5,4,4,4,3,4,1,3,1,1,1,1,1,1,1,2,,1.0,,,18,1,5,3,UW,2,
98,1,3,5,4,3,4,5,5,3,3,5,3,5,5,4,4,4,4,4,3,3,4,3,1,3,1,1,1,1,1,1,1,2,,1.0,,,18,1,5,3,UW,2,
99,1,2,4,5,4,3,5,5,4,5,5,5,5,5,5,4,5,5,4,3,3,3,3,1,2,1,1,1,1,1,1,1,2,,1.0,,,18,1,5,3,UW,2,
100,1,5,5,5,5,2,5,4,5,2,3,5,5,5,5,5,5,5,3,5,5,4,5,3,2,1,1,1,1,1,1,1,2,,1.0,,,19,2,5,3,UW,2,
101,1,3,4,4,3,4,5,4,5,3,5,3,5,5,5,4,3,4,4,3,3,2,3,1,3,1,1,1,1,1,1,3,2,,1.0,,,19,1,5,3,UW,2,
2,1,4,4,4,5,3,5,4,5,3,3,4,5,5,5,5,5,5,4,4,5,4,5,1,3,1,1,1,1,1,1,3,2,,1.0,,,19,1,5,3,UW,2,
103,2,2,4,3,4,4,4,4,2,3,4,5,1,5,5,3,5,2,2,2,3,2,3,1,2,1,1,1,1,1,1,1,1,"RU, LT",1.0,,,18,1,5,3,UW,2,
104,2,2,4,3,4,3,5,4,5,4,5,5,5,5,5,3,5,4,4,4,2,3,2,1,3,1,1,1,1,1,1,1,1,SP,1.0,,,24,1,1,3,NIU,1,"JP, ASL"
105,2,3,4,4,4,3,5,3,3,4,2,4,5,5,5,5,5,4,4,3,3,3,2,1,2,1,1,1,1,3,1,1,1,SP,1.0,,,19,1,1,3,UW,2,
106,2,3,4,5,4,3,5,5,5,4,4,5,5,5,5,5,5,5,4,4,3,2,3,1,2,1,1,1,1,1,1,1,1,SP,1.5,SP,,18,1,5,3,UW,2,
107,2,3,4,4,4,4,5,5,3,4,5,1,5,5,1,5,5,5,5,5,3,3,2,3,4,1,1,1,1,3,1,1,1,TL,1.5,TL,,21,2,5,3,UW,1,"HN, TL"
108,2,1,4,4,3,4,2,4,1,2,3,4,4,5,4,5,3,2,2,1,3,1,1,1,1,4,1,1,2,2,3,2,1,TL,1.5,TL,,21,2,5,3,UW,1,"HN, TL"
109,2,2,4,5,4,3,5,1,5,5,5,5,5,5,5,5,5,5,5,3,4,5,2,4,2,1,1,3,1,1,1,1,2,,1.0,,,20,1,5,3,NIU,1,"ASL, JP"
110,2,2,1,2,2,4,4,4,4,2,5,4,3,3,3,3,3,3,2,2,1,2,2,2,4,3,4,3,2,3,2,3,2,,1.0,,,22,1,2,3,NIU,1,FR
111,2,2,5,4,2,4,4,4,4,4,4,4,5,4,5,2,3,3,4,3,3,3,3,1,3,1,1,1,1,1,3,3,2,,1.0,,,20,1,4,3,UW,1,FR
112,2,5,5,3,5,4,5,5,4,4,5,4,1,5,5,5,5,4,5,4,3,3,4,1,3,1,1,1,1,1,1,1,2,,1.0,,,18,1,5,3,UW,1,"GR, ASL"
113,2,3,5,5,3,4,5,5,3,4,5,3,5,5,5,3,5,5,5,4,3,3,3,1,3,1,1,1,1,1,1,1,2,,1.0,,,18,1,4,3,UW,1,ASL
114,2,3,4,3,3,4,5,4,4,4,5,4,5,4,5,3,4,4,3,3,2,3,3,1,3,1,1,1,4,1,1,1,2,,1.0,,,19,2,4,3,UW,1,SW
115,2,3,5,4,3,4,5,4,5,4,5,3,5,5,5,4,5,4,4,4,3,3,3,1,3,1,1,1,1,1,1,1,2,,1.0,,,18,1,5,3,UW,1,FR
116,2,4,5,4,4,4,5,4,4,4,4,4,2,4,5,4,4,4,3,3,4,2,3,1,4,1,1,1,1,1,1,1,2,,1.0,,,19,1,5,3,UW,1,"CH, GR"
117,2,1,4,2,2,2,4,4,3,2,5,4,5,1,5,2,2,3,3,3,3,2,1,1,2,3,1,4,3,2,1,3,2,,1.0,,,20,2,1,3,NIU,2,
118,2,2,4,3,2,2,5,4,3,3,4,5,5,5,5,2,2,2,4,3,2,2,1,1,2,3,1,4,1,1,3,3,2,,1.0,,,20,1,1,3,NIU,2,
119,2,3,2,5,2,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,4,1,4,4,4,4,4,4,4,4,4,2,,1.0,,,21,1,5,3,NIU,2,
120,2,3,5,4,5,4,5,2,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,1,3,1,1,1,1,1,1,1,2,,1.0,,,18,1,5,3,PU,2,
121,2,3,4,4,4,4,4,5,4,4,4,3,4,4,5,4,4,4,3,3,3,3,3,1,2,1,1,1,1,3,1,1,2,,1.0,,,20,2,3,3,UW,2,
122,2,2,5,2,1,1,4,4,2,3,4,4,5,4,5,2,2,2,2,4,3,4,2,1,2,1,1,3,1,1,1,3,2,,1.0,,,20,1,1,3,UW,2,
123,2,2,5,4,3,4,3,4,2,2,4,2,4,4,5,4,4,4,3,3,3,3,3,1,2,1,1,1,1,1,1,1,2,,1.0,,,20,1,3,3,UW,2,
124,2,1,1,4,2,2,2,3,3,2,5,4,2,2,1,1,2,2,2,2,2,1,1,3,2,4,1,4,1,2,1,1,2,,1.0,,,18,2,5,3,UW,2,
125,2,1,1,3,1,1,5,3,4,3,3,5,5,1,5,1,1,1,3,3,1,1,1,1,4,4,1,1,3,1,2,2,2,,1.0,,,19,1,5,3,UW,2,
126,2,2,4,4,3,4,5,4,5,4,4,3,5,5,5,3,4,4,4,4,2,4,2,1,2,3,1,1,1,1,1,1,2,,1.0,,,18,1,1,3,UW,2,
127,2,2,5,4,3,3,4,5,3,3,5,4,4,5,4,3,5,4,3,3,3,4,3,1,2,1,1,3,1,1,1,3,2,,1.0,,,19,2,3,3,UW,2,
128,2,4,4,4,4,4,4,5,5,4,5,4,1,5,5,4,5,5,4,3,2,3,3,1,2,1,3,3,1,1,1,1,2,,1.0,,,18,1,5,3,UW,2,
129,2,2,4,4,3,3,5,4,5,4,5,3,5,4,5,3,3,3,3,3,2,2,2,1,2,1,1,3,1,1,1,2,2,,1.0,,,20,1,1,3,UW,2,
130,2,2,5,4,3,3,4,3,4,3,4,2,4,4,4,3,3,3,3,3,2,3,2,3,2,1,1,1,1,1,1,1,2,,1.0,,,18,1,5,3,UW,2,
131,1,4,5,5,5,4,5,5,5,4,5,4,4,5,5,4,5,4,4,4,5,2,4,1,2,1,1,1,1,1,1,1,1,IG,1.0,,,20,2,2,4,UW,1,IG
132,1,2,5,4,3,4,5,5,4,4,5,3,5,4,5,2,3,4,5,2,2,2,1,1,2,1,1,1,1,1,1,2,1,SP,1.0,,,40,1,3,4,NIU,1,FR
133,1,3,4,4,4,5,4,4,3,4,5,3,4,4,4,4,5,5,5,3,3,3,3,1,2,1,1,1,1,1,1,1,1,SP,1.0,,,18,1,5,4,NIU,1,"IT, GK"
134,1,2,5,4,2,3,3,3,3,5,5,5,5,2,4,3,3,5,3,2,3,5,3,1,2,1,2,1,3,3,1,1,1,SP,1.0,,,23,1,4,4,NIU,1,ASL
135,1,5,4,5,5,4,5,5,5,5,5,1,5,5,3,5,5,5,5,5,4,4,3,3,3,1,1,1,1,3,1,1,1,SP,1.0,,,22,2,3,4,UW,1,HB
136,1,1,5,4,4,3,5,3,5,5,5,3,4,5,5,4,4,4,5,4,3,4,3,4,3,3,1,1,1,1,3,1,1,SP,1.0,,,23,2,2,4,NIU,2,
137,1,4,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,1,2,1,1,1,1,1,1,1,1,SP,1.0,,,20,1,5,4,UW,2,
138,1,2,3,2,3,4,5,5,2,3,5,3,1,4,4,3,3,3,3,3,3,2,2,1,2,1,1,1,3,1,1,1,1,SP,1.0,,,18,2,5,4,UW,2,
139,1,2,4,2,3,4,3,5,3,2,5,2,2,4,5,4,3,4,4,3,3,5,4,3,2,4,3,1,1,1,1,4,1,SP,1.0,,,18,1,4,4,UW,2,
140,1,2,4,3,3,3,5,5,4,4,5,3,5,5,5,2,5,4,4,5,3,3,2,1,3,1,2,1,1,1,1,1,1,"SP, GR",1.0,,,19,1,4,4,UW,2,
141,1,3,4,4,4,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,3,3,2,1,1,1,1,1,1,1,1,"SP, GK",1.0,,,25,2,4,4,NIU,2,
142,1,4,5,5,4,4,5,5,5,5,5,4,5,5,5,4,5,5,5,4,4,3,5,3,2,1,1,1,1,1,1,1,1,TG,1.0,,,24,1,5,4,UW,1,PR
143,1,2,5,4,4,4,5,4,4,3,5,4,4,5,5,5,5,4,5,4,2,5,2,1,1,1,1,1,1,1,1,1,1,AR,1.5,AR,,18,1,5,4,UW,2,
144,1,3,4,4,3,5,5,2,3,4,5,5,5,5,4,5,4,5,4,4,3,3,3,1,1,1,1,1,1,1,1,1,1,SP,1.5,SP,,18,2,5,4,NIU,1,"CH, GR"
145,1,3,5,4,4,4,5,4,4,3,5,4,5,5,5,4,4,4,4,4,3,5,4,1,4,1,1,1,1,1,1,1,1,SP,1.5,SP,,20,2,2,4,NIU,1,FR
