"","participant_number","version","family_languages.1","english_first_language","eng_first_language_and_other","eng_not_first_language","age","gender","years_studying_spanish","current_class","university","other_language_study","other_languages","prompt","rating","question_type"
"45",2,1,"SP",1,"","",19,2,0,1,"NIU",1,"GR","become_bilingual",3,"directly_affected_questions"
"46",2,1,"SP",1,"","",19,2,0,1,"NIU",1,"GR","admire_multilinguals",3,"semi_affected_questions"
"47",2,1,"SP",1,"","",19,2,0,1,"NIU",1,"GR","like_langauges",2,"semi_affected_questions"
"48",2,1,"SP",1,"","",19,2,0,1,"NIU",1,"GR","interest_languages",2,"semi_affected_questions"
"49",2,1,"SP",1,"","",19,2,0,1,"NIU",1,"GR","like_spanish",3,"semi_affected_questions"
"50",2,1,"SP",1,"","",19,2,0,1,"NIU",1,"GR","like_hearing_spanish",2,"semi_affected_questions"
"51",2,1,"SP",1,"","",19,2,0,1,"NIU",1,"GR","communicating_spanish_speakers",2,"semi_affected_questions"
"52",2,1,"SP",1,"","",19,2,0,1,"NIU",1,"GR","excited_spanish_class",2,"least_affected_questions"
"53",2,1,"SP",1,"","",19,2,0,1,"NIU",1,"GR","outside_engagement",2,"least_affected_questions"
"54",2,1,"SP",1,"","",19,2,0,1,"NIU",1,"GR","spanish_favorite_class",2,"least_affected_questions"
"55",2,1,"SP",1,"","",19,2,0,1,"NIU",1,"GR","worldview",1,"semi_affected_questions"
"56",2,1,"SP",1,"","",19,2,0,1,"NIU",1,"GR","acceptable_mo2lingualism",3,NA
"57",2,1,"SP",1,"","",19,2,0,1,"NIU",1,"GR","learn_2t_abroad",1,NA
"58",2,1,"SP",1,"","",19,2,0,1,"NIU",1,"GR","multilingualism_asset",1,"directly_affected_questions"
"59",2,1,"SP",1,"","",19,2,0,1,"NIU",1,"GR","schools_teach",1,"directly_affected_questions"
"60",2,1,"SP",1,"","",19,2,0,1,"NIU",1,"GR","connect_with_people",3,"directly_affected_questions"
"61",2,1,"SP",1,"","",19,2,0,1,"NIU",1,"GR","future_career",3,"directly_affected_questions"
"62",2,1,"SP",1,"","",19,2,0,1,"NIU",1,"GR","effort",1,"directly_affected_questions"
"63",2,1,"SP",1,"","",19,2,0,1,"NIU",1,"GR","become_bilingual.1",1,NA
"64",2,1,"SP",1,"","",19,2,0,1,"NIU",1,"GR","family_languages",1,NA
"65",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","fun_studying_languages",3,"semi_affected_questions"
"66",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","boring_spanish_class",5,"semi_affected_questions"
"67",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","interesting_spanish_cultures",3,"semi_affected_questions"
"68",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","interesting_studying_languages",3,"semi_affected_questions"
"69",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","difficult_classroom_learning",4,"least_affected_questions"
"70",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","valuable",3,"most_interested_qs"
"71",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","no_accent",4,"most_interested_qs"
"72",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","important_spanish",3,"most_interested_qs"
"73",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","beautiful",2,"semi_affected_questions"
"74",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","codeswitch_rude",5,"most_interested_qs"
